frame_idx,2315:rdophone.px4v17,4979:Signal Catcher,4980:ADB-JDWP Connec,4981:HeapTaskDaemon,4982:ReferenceQueueD,4983:FinalizerDaemon,4984:FinalizerWatchd,4986:Jit thread pool,4987:Binder:2315_1,4988:Binder:2315_2,4991:Binder:2315_3,4994:Profile Saver,4995:RenderThread,5005:DefaultExecutor,5023:ConnectivityThr,5024:rdophone.px4v17,5025:px4,5030:hpwork,5031:lpwork,5035:wkr_hrt,5036:wq:manager,5038:DefaultDispatch,5040:DefaultDispatch,5041:wq:lp_default,5043:DefaultDispatch,5047:queued-work-loo,5048:px4,5066:wq:nav_ctrl,5067:wq:rate_ctrl,5068:wq:INS0,5069:commander,5070:dataman,5071:navigator,5072:wq:hp_default,5074:wq:rocket_mpc,5075:px4,5076:px4,5077:mavlink_if0,5078:px4,5080:mavlink_rcv_if0,5081:TcpOptimizer,5082:TcpOptimizer,5084:logger,5085:px4_watchdog,5086:log_writer_file
0,13.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,0.00,0.00,0.00,3.40,0.00,0.00,3.40,0.00,0.00,0.00,3.40,13.70,3.40,10.30,0.00,0.00,0.00,0.00,3.40,0.00,0.00,6.80,0.00,0.00,0.00,0.00,3.40,0.00,0.00
1,13.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,9.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,16.00,6.00,8.00,1.00,0.00,1.00,2.00,2.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,6.00,0.00,2.00
2,17.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,9.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,16.00,5.00,9.00,1.00,0.00,0.00,2.00,3.00,1.00,0.00,8.00,0.00,1.00,0.00,0.00,5.00,0.00,2.00
3,16.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,8.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,0.00,0.00,0.00,4.00,17.00,5.00,9.00,2.00,0.00,1.00,2.00,3.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,5.00,0.00,3.00
4,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,17.00,6.00,9.00,1.00,0.00,0.00,2.00,2.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,5.00,1.00,2.00
5,13.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,15.00,5.00,9.00,1.00,0.00,1.00,2.00,3.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,6.00,0.00,2.00
6,14.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,10.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,16.00,5.00,8.00,1.00,0.00,0.00,2.00,3.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,5.00,0.00,2.00
7,15.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,17.00,4.00,8.00,1.00,0.00,0.00,2.00,3.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,5.00,0.00,2.00
8,16.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,9.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,15.00,6.00,9.00,2.00,0.00,1.00,2.00,2.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,6.00,0.00,2.00
9,16.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,10.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,16.00,5.00,8.00,1.00,0.00,0.00,1.00,3.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,4.00,1.00,2.00
10,14.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,9.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,15.00,5.00,9.00,1.00,0.00,1.00,2.00,3.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,5.00,0.00,3.00
11,10.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,9.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,16.00,6.00,8.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,5.00,0.00,2.00
12,8.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,11.00,4.00,7.00,1.00,0.00,0.00,1.00,5.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,4.00,0.00,2.00
13,11.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,5.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,10.00,3.00,7.00,1.00,0.00,0.00,2.00,2.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00
14,9.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,10.00,4.00,6.00,1.00,0.00,1.00,0.00,2.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,3.00,0.00,2.00
15,12.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,8.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,14.00,5.00,9.00,1.00,0.00,0.00,2.00,3.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,5.00,1.00,1.00
16,12.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,17.00,5.00,9.00,1.00,0.00,0.00,2.00,3.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,5.00,0.00,2.00
17,10.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,10.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,0.00,0.00,0.00,4.00,17.00,6.00,9.00,2.00,0.00,1.00,2.00,2.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,5.00,0.00,2.00
18,10.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,8.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,18.00,5.00,9.00,1.00,0.00,0.00,1.00,3.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,4.00,0.00,2.00
19,10.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,16.00,5.00,9.00,1.00,0.00,1.00,2.00,2.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,5.00,1.00,2.00
